R1,R,Z1,Z,L1,L,Energy,Entropy,Slew Rate,Rise Time,Maximum,Minimum,DTW distance
33.0,10.0,45,35,100,40,179.33419371729542,0.5348761591960538,0.7651300219158721,3.45039395185342e-09,3.2923498153686523,0.0,305.16238804669746
47.0,10.0,45,35,100,40,166.20435872027883,0.5658552810802322,0.5435045294738121,4.857365222983305e-09,3.2541911602020264,0.0,563.9152305731823
68.0,10.0,45,35,100,40,149.2197441166354,0.5792186902502413,0.38729220447208995,6.816558581649041e-09,3.147061824798584,0.0,525.12642907143
1e-09,15.0,45,35,100,40,226.9788410558249,0.577605943411778,1.7266544805613016,1.5289683197890221e-09,4.351560115814209,-1.1930346488952637,452.14911167027384
10.0,15.0,45,35,100,40,206.47161136366776,0.5265517219879717,1.4437906867747707,1.8285198984746159e-09,3.7259535789489746,-0.473564088344574,269.7548375327192
15.0,15.0,45,35,100,40,199.3292073620978,0.48958285199062634,1.316179395253143,2.005805598781801e-09,3.5006308555603027,-0.21789062023162842,233.03059043436406
22.0,15.0,45,35,100,40,190.70654388997355,0.4099217325981243,1.1006488821363138,2.3985850918013644e-09,3.300187826156616,-0.0007345294579863548,224.3191837105624
33.0,15.0,45,35,100,40,178.56685019523866,0.5397120982904601,0.748946227895758,3.5249526623791846e-09,3.291400909423828,0.0,318.4250754202234
47.0,15.0,45,35,100,40,165.6042911690747,0.5648651042359155,0.5361561573413082,4.92393860231175e-09,3.2514822483062744,0.0,544.5647514729278
68.0,15.0,45,35,100,40,148.72057363390923,0.5787201699483869,0.3835968685288943,6.882225108157113e-09,3.142606496810913,0.0,526.3509305773315
1e-09,22.0,45,35,100,40,223.39307292895683,0.573079187987336,1.684480907922789,1.5672483953857961e-09,4.257187843322754,-1.076103925704956,409.2229055173831
10.0,22.0,45,35,100,40,204.69782668897096,0.5180679173956202,1.4048377439828228,1.8792205799620652e-09,3.6687774658203125,-0.4049484133720398,259.1918258829232
15.0,22.0,45,35,100,40,197.79997728619492,0.4799272598564134,1.2709093142982593,2.077252853762971e-09,3.4536542892456055,-0.17702779173851013,235.45811886154937
22.0,22.0,45,35,100,40,189.40932022815105,0.4339628734226104,1.0628223394662248,2.483952305072804e-09,3.299983024597168,-0.0005107593024149537,236.52374951981852
33.0,22.0,45,35,100,40,177.65410120773595,0.5264498408947992,0.7275046374646332,3.628842847243486e-09,3.289853811264038,0.0,331.1439999889309
47.0,22.0,45,35,100,40,164.71773278681212,0.5641049603714796,0.525926707014242,5.019710854745601e-09,3.247488498687744,0.0,529.0728622534216
68.0,22.0,45,35,100,40,148.01014458498685,0.573985570627719,0.37861481947404374,6.97278570254429e-09,3.136244773864746,0.0,529.2321451916487
1e-09,33.0,45,35,100,40,218.45764308636717,0.566258116592467,1.6169788567276528,1.6326744094494082e-09,4.118014335632324,-0.9059631824493408,364.4198122015317
10.0,33.0,45,35,100,40,201.90427107991127,0.5167742423084426,1.3491813897830014,1.956742080784712e-09,3.5847508907318115,-0.3074827194213867,256.9930934829942
15.0,33.0,45,35,100,40,195.58783037609828,0.4684955881929181,1.200565560104972,2.1989636282496476e-09,3.405555248260498,-0.11933813989162445,229.1766163643148
22.0,33.0,45,35,100,40,187.43108398666664,0.4483337570675194,0.9991213976196447,2.642321550003497e-09,3.299574375152588,-0.0001143522240454331,248.41608434698438
33.0,33.0,45,35,100,40,176.00025614683545,0.5376096847737296,0.6923111168891684,3.813314470324525e-09,3.287006378173828,0.0,332.754006050421
47.0,33.0,45,35,100,40,163.35741293005412,0.565714190775189,0.5108953147385815,5.167399120406601e-09,3.240734338760376,0.0,510.4304487781567
68.0,33.0,45,35,100,40,146.94278149818274,0.5711242841568834,0.3709078310525678,7.117671235218109e-09,3.1259517669677734,0.0,532.1972088485169
1e-09,47.0,45,35,100,40,213.26712840163964,0.5589010484704908,1.5368835771114262,1.7177618651907789e-09,3.951565980911255,-0.7104293704032898,316.86354608211207
10.0,47.0,45,35,100,40,198.74434542543895,0.4991594968288188,1.2622693348438236,2.091471231317394e-09,3.4874191284179688,-0.21353945136070251,244.22913988254174
15.0,47.0,45,35,100,40,192.66008166596293,0.44853618420035934,1.11756370275015,2.362281446241831e-09,3.3495900630950928,-0.05731544643640518,234.28196284957346
22.0,47.0,45,35,100,40,184.96349696306424,0.4838137942812134,0.918666971141426,2.8737290910979963e-09,3.298884391784668,0.0,268.1870887400338
33.0,47.0,45,35,100,40,173.8478374591068,0.539143404568905,0.6562367319443314,4.022938478585425e-09,3.282545566558838,0.0,413.8608182133405
47.0,47.0,45,35,100,40,161.6027702766587,0.5678830713754532,0.4918993473593022,5.366951621652879e-09,3.231287956237793,0.0,485.30175322138274
68.0,47.0,45,35,100,40,145.6012057587941,0.5776181336615617,0.3613040697739181,7.3068648289844885e-09,3.112337350845337,0.0,538.2562108926762
1e-09,68.0,45,35,100,40,206.69540390372276,0.5415249721466961,1.4185187951659897,1.8610962427826535e-09,3.732745885848999,-0.464267760515213,276.7376330051052
10.0,68.0,45,35,100,40,194.07067952670332,0.46714062788477106,1.1367846065044258,2.3223396806171668e-09,3.384186029434204,-0.09532671421766281,238.23667205667292
15.0,68.0,45,35,100,40,188.53302208299283,0.41793715874972853,1.0054256203957723,2.625753657402125e-09,3.302957057952881,-0.003619155613705516,241.72281997436275
22.0,68.0,45,35,100,40,181.2344265772481,0.5073481271807666,0.8130446514040082,3.247054138344197e-09,3.296665668487549,0.0,273.75884361617324
33.0,68.0,45,35,100,40,170.68617808035924,0.5506353793604499,0.6057011823686695,4.358584854789209e-09,3.2739193439483643,0.0,456.4254751430975
47.0,68.0,45,35,100,40,158.9083069575281,0.5690246661753061,0.46620089075023213,5.662794843123506e-09,3.215346097946167,0.0,448.70667037844055
68.0,68.0,45,35,100,40,143.4975445135933,0.5746129346913849,0.34938841805537935,7.556060428945158e-09,3.0908992290496826,0.0,567.1571917755028
1e-09,100.0,45,35,100,40,198.17578333913843,0.5054976889554802,1.2443623250801694,2.1215685711393703e-09,3.4839820861816406,-0.20249180495738983,241.04265156620224
10.0,100.0,45,35,100,40,187.51127583982452,0.4430141281474946,0.9645470101234107,2.737036113628324e-09,3.303792953491211,-0.00493621313944459,235.42107371238848
15.0,100.0,45,35,100,40,182.47882849209418,0.4998655847428504,0.8387467650310741,3.147553123381873e-09,3.2990880012512207,-5.3677576943300664e-05,264.84013599501566
22.0,100.0,45,35,100,40,175.56276077357325,0.5447564207816032,0.6899902606536501,3.826140962481184e-09,3.2891385555267334,0.0,306.1985005866091
33.0,100.0,45,35,100,40,165.82055195613066,0.5581594547428023,0.542706223983049,4.864510269708014e-09,3.2557764053344727,0.0,473.37714940967413
